序号,出发地,抵达地,航班号,航空公司,飞机号,起步价,载客量,头等舱,商务舱,经济舱,起飞机场,降落机场,月,日,星期,时,分,抵达时,抵达分
1761,广州,成都,3U3011,四川航空,JET,1112,20,0,0,11,白云机场,双流机场,4,25,5,14,5,16,40
1762,广州,成都,3U3011,四川航空,JET,1668,20,0,0,20,白云机场,双流机场,11,20,3,14,5,16,40
1763,广州,成都,CZ3413,南方航空,JET,1251,20,0,0,16,白云机场,双流机场,3,16,1,14,5,16,40
1764,广州,成都,CZ3413,南方航空,JET,1529,20,0,0,19,白云机场,双流机场,12,30,6,14,5,16,40
1765,广州,成都,MF1257,厦门航空,JET,1529,20,0,0,6,白云机场,双流机场,4,9,0,14,5,16,40
1766,广州,成都,MF1257,厦门航空,JET,1390,20,0,0,3,白云机场,双流机场,1,5,0,14,5,16,40
1767,广州,成都,MU3101,东方航空,JET,1668,20,0,0,15,白云机场,双流机场,1,30,3,14,5,16,40
1768,广州,成都,MU3101,东方航空,JET,2085,20,0,0,5,白云机场,双流机场,2,15,3,14,5,16,40
1769,广州,成都,CA4318,中国国航,A321,973,177,0,1,14,白云机场,双流机场,1,11,1,15,30,18,5
1770,广州,成都,CZ3427,南方航空,A321,973,177,0,14,85,白云机场,双流机场,4,14,2,18,35,21,20
1771,广州,成都,ZH9443,深圳航空,B737,1807,159,0,1,75,白云机场,双流机场,2,24,1,19,45,22,25
1772,广州,成都,CZ3377,南方航空,A321,1529,177,0,10,160,白云机场,双流机场,9,4,0,21,10,23,40
1773,广州,重庆,JD5171,首都航空,A320,1069,158,0,6,54,白云机场,江北机场,9,23,2,6,30,8,45
1774,广州,重庆,JD5171,首都航空,A320,1307,158,0,2,67,白云机场,江北机场,7,2,4,6,30,8,45
1775,广州,重庆,HU7869,海南航空,B737,950,159,0,5,146,白云机场,江北机场,10,28,3,7,5,9,20
1776,广州,重庆,CZ8156,南方航空,A320,1544,158,0,0,137,白云机场,江北机场,9,14,4,7,5,9,25
1777,广州,重庆,OQ2356,重庆航空,A320,1544,158,0,1,15,白云机场,江北机场,9,12,6,7,5,9,25
1778,广州,重庆,CZ3463,南方航空,A319,950,124,0,2,3,白云机场,江北机场,9,13,5,8,30,10,40
1779,广州,重庆,CA4354,中国国航,B737,1307,159,0,0,114,白云机场,江北机场,7,21,6,8,55,11,10
1780,广州,重庆,G54132,华夏航空,B737,1426,159,0,11,133,白云机场,江北机场,3,31,0,8,55,11,10
1781,广州,重庆,SC4354,山东航空,B737,1188,159,0,9,82,白云机场,江北机场,9,12,6,8,55,11,10
1782,广州,重庆,TV6632,西藏航空,B737,950,159,0,12,30,白云机场,江北机场,6,2,5,8,55,11,10
1783,广州,重庆,ZH4354,深圳航空,B737,1544,159,0,9,82,白云机场,江北机场,1,5,0,8,55,11,10
1784,广州,重庆,HU7131,海南航空,B737,832,159,0,9,15,白云机场,江北机场,10,24,0,9,25,11,35
1785,广州,重庆,PN6254,西部航空,A320,1188,158,0,5,77,白云机场,江北机场,6,19,2,9,35,11,50
1786,广州,重庆,3U3027,四川航空,A319,1307,124,0,8,3,白云机场,江北机场,11,20,3,10,5,12,15
1787,广州,重庆,CZ3405,南方航空,A319,832,124,0,0,102,白云机场,江北机场,9,17,1,10,5,12,15
1788,广州,重庆,MF1251,厦门航空,A319,1544,124,0,5,79,白云机场,江北机场,6,27,1,10,5,12,15
1789,广州,重庆,3U8793,四川航空,A321,1544,177,0,8,29,白云机场,江北机场,11,24,6,10,10,12,25
1790,广州,重庆,CZ8106,南方航空,A320,1188,158,0,7,112,白云机场,江北机场,12,17,5,11,15,13,25
1791,广州,重庆,CZ3425,南方航空,A320,1307,158,0,3,121,白云机场,江北机场,7,29,5,13,40,16,0
1792,广州,重庆,CZ8118,南方航空,A320,1782,158,0,5,148,白云机场,江北机场,5,8,0,15,0,17,15
1793,广州,重庆,CA4396,中国国航,B737,1069,159,0,9,10,白云机场,江北机场,5,23,6,15,10,17,25
1794,广州,重庆,3U8746,四川航空,A321,1544,177,0,3,146,白云机场,江北机场,4,4,5,16,40,18,50
1795,广州,重庆,CZ9950,南方航空,A321,1069,177,0,14,2,白云机场,江北机场,11,18,5,16,40,18,50
1796,广州,重庆,SC3050,山东航空,A321,1188,177,0,8,27,白云机场,江北机场,2,28,4,16,40,18,50
1797,广州,重庆,CA4350,中国国航,B737,1782,159,0,5,16,白云机场,江北机场,5,2,6,16,55,19,20
1798,广州,重庆,G54130,华夏航空,B737,1426,159,0,12,35,白云机场,江北机场,5,5,3,16,55,19,20
1799,广州,重庆,SC4350,山东航空,B737,1782,159,0,4,145,白云机场,江北机场,12,23,6,16,55,19,20
1800,广州,重庆,TV6808,西藏航空,B737,950,159,0,3,89,白云机场,江北机场,4,14,2,16,55,19,20
1801,广州,重庆,ZH4350,深圳航空,B737,832,159,0,1,29,白云机场,江北机场,6,29,6,16,55,19,20
1802,广州,重庆,CZ8140,南方航空,A320,1544,158,0,0,93,白云机场,江北机场,10,1,2,18,20,20,35
1803,广州,重庆,CZ3439,南方航空,A320,950,158,0,1,24,白云机场,江北机场,6,5,2,19,50,22,5
1804,广州,重庆,CZ8126,南方航空,A320,1782,158,0,0,3,白云机场,江北机场,2,12,6,21,45,23,55
1805,广州,重庆,HU7041,海南航空,B737,1069,159,0,9,115,白云机场,江北机场,4,22,1,21,45,23,55
1806,广州,重庆,3U8742,四川航空,A321,1544,177,0,12,5,白云机场,江北机场,5,1,0,21,55,0,10
1807,广州,重庆,CZ9946,南方航空,A321,1069,177,0,11,74,白云机场,江北机场,8,20,6,21,55,0,10
1808,广州,重庆,SC3046,山东航空,A321,1307,177,0,2,32,白云机场,江北机场,8,28,5,21,55,0,10
1809,广州,重庆,PN6382,西部航空,A320,950,158,0,2,50,白云机场,江北机场,12,18,4,23,40,1,50
1810,广州,重庆,PN6382,西部航空,A320,1069,158,0,8,96,白云机场,江北机场,9,14,4,23,40,1,50
1811,广州,大连,ZH9681,深圳航空,B737,2057,159,0,11,125,白云机场,周水子机场,12,1,0,7,15,12,20
1812,广州,大连,CZ3604,南方航空,A321,1600,177,0,5,34,白云机场,周水子机场,1,22,4,8,0,11,25
1813,广州,大连,ZH9683,深圳航空,A320,2971,158,0,0,126,白云机场,周水子机场,6,13,1,9,20,14,10
1814,广州,大连,CZ6322,南方航空,JET,3428,20,0,0,15,白云机场,周水子机场,3,27,4,13,5,16,40
1815,广州,大连,CZ6200,南方航空,A319,3199,124,0,4,55,白云机场,周水子机场,3,25,6,16,10,19,35
1816,广州,大连,CZ6290,南方航空,A321,2742,177,0,1,130,白云机场,周水子机场,8,22,4,17,25,20,55
1817,广州,大连,MF1945,厦门航空,A321,1600,177,0,8,14,白云机场,周水子机场,11,4,5,17,25,20,55
1818,广州,大连,CN7243,大新华航空,B737,3199,159,0,0,51,白云机场,周水子机场,5,27,2,17,55,22,40
1819,广州,大连,HU7243,海南航空,B737,2971,159,0,11,99,白云机场,周水子机场,12,11,4,17,55,22,40
1820,广州,大连,CZ3608,南方航空,A319,2514,124,0,6,44,白云机场,周水子机场,6,29,6,19,55,23,25
1821,广州,大连,CZ3608,南方航空,A319,2285,124,0,7,55,白云机场,周水子机场,10,4,6,20,0,23,25
1822,广州,大连,G55018,华夏航空,A319,2514,124,0,5,39,白云机场,周水子机场,3,14,3,20,0,23,25
1823,广州,大连,MF1436,厦门航空,A319,2057,124,0,7,116,白云机场,周水子机场,1,17,2,20,0,23,25
1824,广州,大连,CZ3608,南方航空,A319,2742,124,0,0,3,白云机场,周水子机场,3,6,4,20,15,23,35
1825,广州,大连,CZ6468,南方航空,JET,1828,20,0,0,19,白云机场,周水子机场,2,23,2,21,20,0,40
1826,广州,福州,CZ3505,南方航空,A320,839,158,0,8,30,白云机场,长乐机场,9,26,6,7,25,9,5
1827,广州,福州,QF3621,澳洲航空,B737,763,159,0,8,139,白云机场,长乐机场,3,3,0,7,25,9,5
1828,广州,福州,QF3621,澳洲航空,B737,1145,159,0,8,140,白云机场,长乐机场,7,28,6,7,25,9,5
1829,广州,福州,CZ5200,南方航空,B737,916,159,0,5,128,白云机场,长乐机场,12,30,6,13,5,14,45
1830,广州,福州,MF8324,厦门航空,B737,534,159,0,6,9,白云机场,长乐机场,10,15,2,13,5,14,45
1831,广州,福州,NS8324,河北航空,B737,534,159,0,8,7,白云机场,长乐机场,9,15,3,13,5,14,45
1832,广州,福州,CZ3877,南方航空,A320,687,158,0,4,109,白云机场,长乐机场,1,22,4,15,50,17,30
1833,广州,福州,CZ3877,南方航空,A320,610,158,0,6,95,白云机场,长乐机场,2,4,0,16,10,17,45
1834,广州,福州,MF1677,厦门航空,A320,687,158,0,8,121,白云机场,长乐机场,4,16,0,16,10,17,45
1835,广州,福州,CZ3647,南方航空,JET,534,20,0,0,18,白云机场,长乐机场,12,23,6,19,30,21,5
1836,广州,福州,QF3623,澳洲航空,JET,916,20,0,0,15,白云机场,长乐机场,9,18,0,19,30,21,5
1837,广州,福州,MF8326,厦门航空,B737,916,159,0,2,25,白云机场,长乐机场,5,9,6,21,50,23,30
1838,广州,贵阳,CZ6462,南方航空,B737,959,159,0,7,95,白云机场,龙洞堡机场,12,8,0,7,20,9,10
1839,广州,贵阳,MF4105,厦门航空,B737,610,159,0,6,107,白云机场,龙洞堡机场,11,13,3,7,20,9,10
1840,广州,贵阳,CZ3662,南方航空,B737,610,159,0,0,62,白云机场,龙洞堡机场,12,28,1,10,30,12,15
1841,广州,贵阳,AQ1027,九元航空,B737,872,159,0,1,48,白云机场,龙洞堡机场,7,3,3,14,10,15,55
1842,广州,贵阳,CZ3692,南方航空,B737,610,159,0,8,132,白云机场,龙洞堡机场,5,13,2,15,40,17,25
1843,广州,贵阳,MF1510,厦门航空,B737,1134,159,0,8,77,白云机场,龙洞堡机场,5,8,0,15,40,17,25
1844,广州,贵阳,CZ6296,南方航空,B737,1134,159,0,11,102,白云机场,龙洞堡机场,2,11,0,20,15,22,5
1845,广州,贵阳,MF1949,厦门航空,B737,610,159,0,12,104,白云机场,龙洞堡机场,7,8,5,20,15,22,5
1846,广州,贵阳,CZ3082,南方航空,B737,1046,159,0,10,45,白云机场,龙洞堡机场,9,6,5,21,15,23,0
1847,广州,贵阳,CZ3082,南方航空,B737,959,159,0,3,6,白云机场,龙洞堡机场,12,19,3,21,15,23,0
1848,广州,哈尔滨,ZH9671,深圳航空,A320,4055,158,0,3,0,白云机场,太平机场,2,18,0,8,50,14,35
1849,广州,哈尔滨,HU7275,海南航空,B737,4679,159,0,6,40,白云机场,太平机场,12,1,0,9,10,15,15
1850,广州,哈尔滨,ZH9673,深圳航空,A320,3119,158,0,3,57,白云机场,太平机场,4,15,1,11,50,16,15
1851,广州,哈尔滨,AQ1021,九元航空,B737,2807,159,0,2,76,白云机场,太平机场,3,15,2,14,30,20,40
1852,广州,哈尔滨,AQ1021,九元航空,B737,4055,159,0,1,97,白云机场,太平机场,1,9,3,14,30,21,0
1853,广州,哈尔滨,CZ8740,南方航空,A319,3743,124,0,2,52,白云机场,太平机场,12,13,2,17,10,22,45
1854,广州,哈尔滨,CZ6262,南方航空,A319,2183,124,0,2,79,白云机场,太平机场,3,10,0,17,10,23,5
1855,广州,哈尔滨,ZH9675,深圳航空,A320,4367,158,0,4,29,白云机场,太平机场,3,13,4,18,25,22,40
1856,广州,哈尔滨,CZ3623,南方航空,A320,2495,158,0,4,24,白云机场,太平机场,10,24,0,19,15,23,30
1857,广州,海口,CZ6772,南方航空,A320,712,158,0,2,135,白云机场,美兰机场,12,4,4,6,45,8,5
1858,广州,海口,CZ6772,南方航空,A320,603,158,0,4,42,白云机场,美兰机场,8,18,1,7,0,8,20
1859,广州,海口,HU7004,海南航空,B737,384,159,0,1,89,白云机场,美兰机场,7,12,1,7,10,8,30
1860,广州,海口,HU7010,海南航空,B737,603,159,0,5,147,白云机场,美兰机场,12,14,1,9,15,10,30
1861,广州,海口,HU7008,海南航空,B737,712,159,0,11,39,白云机场,美兰机场,8,31,2,11,5,12,25
1862,广州,海口,HU7004,海南航空,B737,438,159,0,12,10,白云机场,美兰机场,8,6,6,12,45,14,10
1863,广州,海口,HU7004,海南航空,B737,438,159,0,2,37,白云机场,美兰机场,4,17,6,12,55,14,15
1864,广州,海口,CZ6792,南方航空,JET,493,20,0,0,14,白云机场,美兰机场,4,10,6,13,10,14,40
1865,广州,海口,MF4374,厦门航空,JET,384,20,0,0,7,白云机场,美兰机场,3,19,5,13,10,14,40
1866,广州,海口,AQ1025,九元航空,B737,438,159,0,3,121,白云机场,美兰机场,8,21,5,14,15,15,35
1867,广州,海口,AQ1025,九元航空,B737,767,159,0,4,26,白云机场,美兰机场,5,31,5,14,50,16,10
1868,广州,海口,CZ6786,南方航空,A320,603,158,0,2,56,白云机场,美兰机场,4,17,6,18,50,20,20
1869,广州,海口,CA3651,中国国航,A320,658,158,0,8,133,白云机场,美兰机场,2,16,2,21,45,23,5
1870,广州,海口,KY9351,昆明航空,A320,438,158,0,8,30,白云机场,美兰机场,5,28,1,21,45,23,5
1871,广州,海口,ZH9351,深圳航空,A320,493,158,0,5,8,白云机场,美兰机场,11,10,6,21,45,23,5
1872,广州,海口,JD5159,首都航空,JET,603,20,0,0,7,白云机场,美兰机场,12,26,3,21,55,23,10
1873,广州,海口,JD5159,首都航空,JET,384,20,0,0,8,白云机场,美兰机场,3,20,4,21,55,23,10
1874,广州,海口,HU7006,海南航空,B737,603,159,0,1,115,白云机场,美兰机场,11,30,0,22,10,23,30
1875,广州,海口,ZH9353,深圳航空,A320,384,158,0,0,76,白云机场,美兰机场,4,10,6,22,20,23,45
1876,广州,海口,HU7002,海南航空,B737,384,159,0,6,68,白云机场,美兰机场,8,24,2,23,55,1,15
1877,广州,杭州,HU7761,海南航空,B737,1319,159,0,8,142,白云机场,萧山机场,8,20,6,7,15,9,20
1878,广州,杭州,JD5169,首都航空,A321,1209,177,0,5,142,白云机场,萧山机场,2,11,0,7,25,9,25
1879,广州,杭州,CZ3521,南方航空,A320,1649,158,0,2,48,白云机场,萧山机场,9,26,6,7,40,9,45
1880,广州,杭州,FM9352,上海航空,JET,879,20,0,0,0,白云机场,萧山机场,7,15,5,7,45,10,0
1881,广州,杭州,MU9352,东方航空,JET,879,20,0,0,14,白云机场,萧山机场,3,25,6,7,45,10,0
1882,广州,杭州,CA1720,中国国航,JET,1429,20,0,0,19,白云机场,萧山机场,2,18,0,10,40,12,45
1883,广州,杭州,ZH1720,深圳航空,JET,989,20,0,0,3,白云机场,萧山机场,5,6,2,10,40,12,45
1884,广州,杭州,MU5212,东方航空,A320,879,158,0,7,98,白云机场,萧山机场,11,26,4,11,20,13,30
1885,广州,杭州,CZ3869,南方航空,JET,769,20,0,0,18,白云机场,萧山机场,6,25,3,11,35,13,35
1886,广州,杭州,GJ8700,长龙航空,A320,1099,158,0,8,19,白云机场,萧山机场,8,15,4,14,15,16,20
1887,广州,杭州,CZ3501,南方航空,B737,1209,159,0,3,127,白云机场,萧山机场,3,23,1,14,35,16,40
1888,广州,杭州,HU7361,海南航空,B737,1429,159,0,9,58,白云机场,萧山机场,6,18,3,14,45,16,45
1889,广州,杭州,CZ3847,南方航空,JET,1319,20,0,0,15,白云机场,萧山机场,6,17,4,16,10,18,20
1890,广州,杭州,CZ3829,南方航空,ERJ-190,1319,78,0,0,58,白云机场,萧山机场,9,4,0,16,55,18,55
1891,广州,杭州,ZH9981,深圳航空,A320,1099,158,0,5,130,白云机场,萧山机场,2,27,5,18,10,20,10
1892,广州,杭州,CZ3801,南方航空,JET,1649,20,0,0,19,白云机场,萧山机场,6,18,3,19,0,21,5
1893,广州,杭州,HU7261,海南航空,B737,879,159,0,0,86,白云机场,萧山机场,3,22,2,19,10,21,25
1894,广州,杭州,HU7261,海南航空,B737,769,159,0,1,81,白云机场,萧山机场,1,24,2,19,10,21,25
1895,广州,杭州,MU5218,东方航空,A320,879,158,0,8,131,白云机场,萧山机场,3,9,1,20,5,22,15
1896,广州,杭州,CA1728,中国国航,JET,1649,20,0,0,20,白云机场,萧山机场,7,25,2,20,35,22,35
1897,广州,杭州,ZH1728,深圳航空,JET,1099,20,0,0,8,白云机场,萧山机场,6,27,1,20,35,22,35
1898,广州,杭州,CZ3819,南方航空,A320,879,158,0,7,24,白云机场,萧山机场,2,2,2,20,35,22,45
1899,广州,济南,ZH9971,深圳航空,A320,1165,158,0,4,17,白云机场,遥墙机场,10,15,2,8,10,11,5
1900,广州,济南,CZ3509,南方航空,A320,1664,158,0,6,62,白云机场,遥墙机场,12,12,3,9,15,12,10
1901,广州,济南,CZ3711,南方航空,B737,1664,159,0,11,139,白云机场,遥墙机场,12,4,4,14,50,17,30
1902,广州,济南,ZH9973,深圳航空,A320,1664,158,0,2,91,白云机场,遥墙机场,6,27,1,16,25,19,5
1903,广州,济南,CZ3707,南方航空,A319,1664,124,0,2,103,白云机场,遥墙机场,4,14,2,17,35,20,20
1904,广州,济南,MU5260,东方航空,A320,1830,158,0,0,75,白云机场,遥墙机场,9,30,2,18,55,21,40
1905,广州,昆明,3U8206,四川航空,A320,1764,158,0,0,46,白云机场,长水机场,11,5,4,6,15,9,5
1906,广州,昆明,KY8286,昆明航空,B737,1221,159,0,2,33,白云机场,长水机场,7,2,4,6,50,9,30
1907,广州,昆明,CZ3481,南方航空,A319,1221,124,0,1,68,白云机场,长水机场,5,21,1,7,10,9,50
1908,广州,昆明,MU5740,东方航空,B737,1493,159,0,10,115,白云机场,长水机场,2,11,0,7,25,10,20
1909,广州,昆明,ZH9451,深圳航空,A320,2036,158,0,1,147,白云机场,长水机场,1,9,3,8,25,11,20
1910,广州,昆明,CZ3415,南方航空,B737,2036,159,0,10,87,白云机场,长水机场,6,28,0,11,30,14,15
1911,广州,昆明,MF1259,厦门航空,B737,2036,159,0,3,80,白云机场,长水机场,5,16,6,11,30,14,15
1912,广州,昆明,MU3204,东方航空,B737,1900,159,0,2,87,白云机场,长水机场,3,22,2,11,30,14,15
1913,广州,昆明,CZ3487,南方航空,A320,1900,158,0,3,16,白云机场,长水机场,3,14,3,12,35,15,20
1914,广州,昆明,CZ3407,南方航空,B737,1764,159,0,6,95,白云机场,长水机场,7,23,4,13,35,16,20
1915,广州,昆明,ZH9453,深圳航空,A320,950,158,0,5,90,白云机场,长水机场,3,18,6,14,35,17,25
1916,广州,昆明,CZ3449,南方航空,A320,1493,158,0,3,9,白云机场,长水机场,6,28,0,14,55,17,40
1917,广州,昆明,CZ3489,南方航空,JET,1493,20,0,0,2,白云机场,长水机场,7,11,2,18,35,21,20
1918,广州,昆明,CZ3489,南方航空,JET,1764,20,0,0,11,白云机场,长水机场,10,29,2,18,35,21,20
1919,广州,昆明,CZ9414,南方航空,JET,1493,20,0,0,0,白云机场,长水机场,1,7,5,18,55,21,40
1920,广州,昆明,HU7235,海南航空,B737,1764,159,0,6,130,白云机场,长水机场,8,20,6,18,55,21,40
1921,广州,昆明,HU7235,海南航空,B737,2036,159,0,0,34,白云机场,长水机场,6,27,1,18,55,21,40
1922,广州,昆明,MF3094,厦门航空,JET,1764,20,0,0,19,白云机场,长水机场,9,12,6,18,55,21,40
1923,广州,昆明,MU5738,东方航空,JET,1357,20,0,0,5,白云机场,长水机场,2,19,6,18,55,21,40
1924,广州,昆明,CZ3419,南方航空,B737,1628,159,0,9,132,白云机场,长水机场,8,26,0,21,10,23,55
1925,广州,昆明,QF3635,澳洲航空,A320,1764,158,0,0,113,白云机场,长水机场,7,19,1,21,10,23,55
1926,广州,昆明,QF3635,澳洲航空,A320,1221,158,0,5,37,白云机场,长水机场,5,9,6,21,10,23,55
1927,广州,兰州,9C8513,春秋航空,A320,2286,158,0,4,96,白云机场,中川机场,6,12,2,6,20,9,50
1928,广州,兰州,ZH9223,深圳航空,A320,1662,158,0,4,41,白云机场,中川机场,3,11,6,9,50,15,0
1929,广州,兰州,CZ3243,南方航空,ERJ-190,1870,78,0,0,28,白云机场,中川机场,7,6,0,9,55,14,40
1930,广州,兰州,CZ3397,南方航空,B737,1870,159,0,0,109,白云机场,中川机场,6,3,4,11,25,16,45
1931,广州,兰州,CZ3245,南方航空,A320,1662,158,0,4,104,白云机场,中川机场,10,2,1,11,40,16,15
1932,广州,兰州,GS7526,天津航空,JET,1455,20,0,0,12,白云机场,中川机场,1,8,4,15,35,18,55
1933,广州,兰州,MU2535,东方航空,B737,1455,159,0,6,24,白云机场,中川机场,3,20,4,16,55,20,15
1934,广州,兰州,CZ9797,南方航空,A320,1455,158,0,6,29,白云机场,中川机场,8,6,6,19,45,0,50
1935,广州,兰州,CZ9797,南方航空,A320,1662,158,0,2,76,白云机场,中川机场,1,1,4,19,45,0,50
1936,广州,兰州,JR2306,幸福航空,A320,2078,158,0,0,88,白云机场,中川机场,3,19,5,19,45,0,50
1937,广州,兰州,JR2306,幸福航空,A320,2909,158,0,8,52,白云机场,中川机场,3,4,6,19,45,0,50
1938,广州,兰州,MU2306,东方航空,A320,1870,158,0,5,77,白云机场,中川机场,10,26,5,19,45,0,50
1939,广州,兰州,MU2306,东方航空,A320,2286,158,0,3,99,白云机场,中川机场,2,10,1,19,45,0,50
1940,广州,拉萨,CZ3463,南方航空,A319,3181,124,0,7,73,白云机场,贡嘎机场,5,30,6,8,30,14,40
1941,广州,南昌,CZ3539,南方航空,ERJ-190,865,78,0,0,3,白云机场,昌北机场,3,14,3,7,20,8,55
1942,广州,南昌,ZH9991,深圳航空,A320,865,158,0,6,25,白云机场,昌北机场,2,4,0,7,45,9,25
1943,广州,南昌,CZ3545,南方航空,ERJ-190,732,78,0,0,21,白云机场,昌北机场,2,15,3,20,5,21,40
1944,广州,南昌,MU5232,东方航空,A320,466,158,0,8,138,白云机场,昌北机场,10,24,0,23,55,1,30
1945,广州,南京,HU7213,海南航空,B737,1506,159,0,6,75,白云机场,禄口机场,5,21,1,7,0,9,10
1946,广州,南京,ZH9681,深圳航空,B737,1757,159,0,0,10,白云机场,禄口机场,5,27,2,7,15,9,30
1947,广州,南京,CA3699,中国国航,B737,1506,159,0,8,101,白云机场,禄口机场,3,31,0,8,45,11,0
1948,广州,南京,KY9861,昆明航空,B737,1255,159,0,0,147,白云机场,禄口机场,6,11,3,8,45,11,0
1949,广州,南京,ZH9861,深圳航空,B737,1255,159,0,9,132,白云机场,禄口机场,5,3,5,8,45,11,0
1950,广州,南京,CZ3843,南方航空,A319,879,124,0,7,13,白云机场,禄口机场,11,21,2,9,5,11,20
1951,广州,南京,HU7713,海南航空,B737,1381,159,0,7,25,白云机场,禄口机场,6,10,4,9,15,11,30
1952,广州,南京,CZ3599,南方航空,B737,1004,159,0,12,129,白云机场,禄口机场,10,17,0,10,25,12,40
1953,广州,南京,ZH9863,深圳航空,B737,1255,159,0,10,123,白云机场,禄口机场,1,12,0,10,45,13,5
1954,广州,南京,CZ3821,南方航空,A320,1506,158,0,1,150,白云机场,禄口机场,3,7,3,13,30,15,40
1955,广州,南京,CZ3821,南方航空,A320,1130,158,0,3,131,白云机场,禄口机场,1,16,3,13,30,15,40
1956,广州,南京,MF1625,厦门航空,A320,1506,158,0,4,120,白云机场,禄口机场,12,25,4,13,30,15,40
1957,广州,南京,MF1625,厦门航空,A320,879,158,0,1,132,白云机场,禄口机场,9,23,2,13,30,15,40
1958,广州,南京,MU3446,东方航空,A320,1632,158,0,4,28,白云机场,禄口机场,11,20,3,13,30,15,40
1959,广州,南京,MU3446,东方航空,A320,1255,158,0,5,67,白云机场,禄口机场,10,27,4,13,30,15,40
1960,广州,南京,AQ1033,九元航空,B737,1757,159,0,10,87,白云机场,禄口机场,6,18,3,14,45,17,5
1961,广州,南京,CZ3507,南方航空,A320,1757,158,0,6,77,白云机场,禄口机场,10,25,6,16,35,18,50
1962,广州,南京,ZH9865,深圳航空,B737,1381,159,0,4,22,白云机场,禄口机场,5,22,0,17,15,19,30
1963,广州,南京,MU2808,东方航空,A320,1255,158,0,8,47,白云机场,禄口机场,12,5,3,17,40,19,55
1964,广州,南京,HU7113,海南航空,B737,1757,159,0,9,139,白云机场,禄口机场,12,29,0,19,35,21,45
1965,广州,南京,ZH9867,深圳航空,B737,1632,159,0,7,141,白云机场,禄口机场,1,6,6,21,5,23,20
1966,广州,南京,CZ3871,南方航空,B737,1130,159,0,0,15,白云机场,禄口机场,10,25,6,21,15,23,30
1967,广州,青岛,ZH9991,深圳航空,A320,1307,158,0,0,116,白云机场,流亭机场,11,29,1,7,45,12,5
1968,广州,青岛,CZ3533,南方航空,JET,1307,20,0,0,9,白云机场,流亭机场,6,6,1,8,10,11,10
1969,广州,青岛,HU7275,海南航空,B737,2801,159,0,11,145,白云机场,流亭机场,2,12,6,9,10,12,15
1970,广州,青岛,CZ9338,南方航空,JET,2801,20,0,0,16,白云机场,流亭机场,8,15,4,12,20,15,25
1971,广州,青岛,MU5258,东方航空,JET,1307,20,0,0,4,白云机场,流亭机场,2,20,5,12,20,15,25
1972,广州,青岛,CA3615,中国国航,A320,1307,158,0,0,150,白云机场,流亭机场,5,19,3,14,35,19,5
1973,广州,青岛,KY9993,昆明航空,A320,1867,158,0,5,95,白云机场,流亭机场,7,7,6,14,35,19,5
1974,广州,青岛,ZH9993,深圳航空,A320,1494,158,0,0,93,白云机场,流亭机场,7,25,2,14,35,19,5
1975,广州,青岛,CA3615,中国国航,A320,1307,158,0,5,50,白云机场,流亭机场,2,12,6,14,35,19,10
1976,广州,青岛,KY9993,昆明航空,A320,2801,158,0,2,117,白云机场,流亭机场,2,28,4,14,35,19,10
1977,广州,青岛,ZH9993,深圳航空,A320,2427,158,0,0,73,白云机场,流亭机场,7,25,2,14,35,19,10
1978,广州,青岛,CZ3573,南方航空,A320,2801,158,0,5,14,白云机场,流亭机场,10,8,2,16,5,19,15
1979,广州,青岛,CA4676,中国国航,B737,2801,159,0,10,11,白云机场,流亭机场,11,30,0,20,30,23,35
1980,广州,青岛,SC4676,山东航空,B737,1307,159,0,1,27,白云机场,流亭机场,2,24,1,20,30,23,35
1981,广州,青岛,ZH3018,深圳航空,B737,1494,159,0,7,16,白云机场,流亭机场,8,19,0,20,30,23,35
1982,广州,青岛,CZ3715,南方航空,B737,2801,159,0,5,109,白云机场,流亭机场,12,17,5,20,40,23,45
1983,广州,齐齐哈尔,CZ3611,南方航空,A320,2262,158,0,1,139,白云机场,三家子机场,9,11,0,9,0,15,45
1984,广州,三亚,HU7294,海南航空,B737,971,159,0,2,108,白云机场,凤凰机场,11,10,6,6,25,8,10
1985,广州,三亚,CZ6730,南方航空,A320,896,158,0,0,116,白云机场,凤凰机场,3,10,0,6,55,8,40
1986,广州,三亚,CZ394,南方航空,A320,672,158,0,5,38,白云机场,凤凰机场,8,6,6,13,15,14,55
1987,广州,三亚,CZ394,南方航空,A320,1046,158,0,6,75,白云机场,凤凰机场,2,13,5,13,15,15,0
1988,广州,三亚,CZ6734,南方航空,JET,598,20,0,0,20,白云机场,凤凰机场,5,30,6,23,20,1,5
1989,广州,三亚,MF4325,厦门航空,JET,896,20,0,0,3,白云机场,凤凰机场,5,18,4,23,20,1,5
1990,广州,三亚,MU4458,东方航空,JET,822,20,0,0,13,白云机场,凤凰机场,3,1,2,23,20,1,5
1991,广州,三亚,CZ6750,南方航空,A320,822,158,0,2,97,白云机场,凤凰机场,9,8,3,23,30,1,20
1992,广州,三亚,MF4332,厦门航空,A320,747,158,0,5,69,白云机场,凤凰机场,8,31,2,23,30,1,20
1993,广州,三亚,MU4470,东方航空,A320,1046,158,0,7,24,白云机场,凤凰机场,12,26,3,23,30,1,20
1994,广州,上海,9C8930,春秋航空,A320,1177,158,0,1,40,白云机场,虹桥机场,2,26,6,6,45,9,0
1995,广州,上海,HO1288,吉祥航空,A320,1308,158,0,1,137,白云机场,虹桥机场,5,2,6,6,55,9,15
